2026-09-13 10:04:58 | INFO | movieclaw_db.engine | 数据库引擎已初始化：sqlite+aiosqlite:///./.tmp-uidev/data/movieclaw.db
2026-09-13 10:04:58 | INFO | movieclaw_db.migrations | 开始执行数据库迁移（upgrade head）……
2026-09-13 10:05:01 | INFO | movieclaw_db.crypto | 从密钥文件加载加密密钥（方案 B）：data\.secret_key
2026-09-13 10:05:01 | INFO | movieclaw_net.egress | 网络出口配置已生效：模式=env，走代理的服务=['github', 'image', 'tmdb']
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: agsvpt (AGSVPT)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: audiences (观众)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: chdbits (彩虹岛)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: hdarea (高清视界 HDArea)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: hddolby (高清杜比 HDDolby)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: hdfans (HDFans)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: hdhome (高清家园)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: hdsky (HDSky)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: hdtime (HDTime)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: hdvideo (HDVIDEO)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: hhanclub (憨憨)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: keepfrds (朋友)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: agsvpt (AGSVPT)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: audiences (观众)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: chdbits (彩虹岛)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: hdarea (高清视界 HDArea)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: hddolby (高清杜比 HDDolby)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: hdfans (HDFans)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: hdhome (高清家园)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: hdsky (HDSky)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: hdtime (HDTime)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: hdvideo (HDVIDEO)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: hhanclub (憨憨)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: keepfrds (朋友)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: mteam (M-Team)
2026-09-13 10:05:01 | INFO | movieclaw_tracker.registry | Registered site: nicept (NicePT)
